sep=;
"Series";"Time";"Value"
"Raspi_03";"2021-10-01T11:31:14+02:00";555.9052734375
"Raspi_03";"2021-10-01T11:31:16+02:00";555.1490478515625
"Raspi_03";"2021-10-01T11:31:18+02:00";555.3757934570312
"Raspi_03";"2021-10-01T11:31:20+02:00";554.3876342773438
"Raspi_03";"2021-10-01T11:31:22+02:00";554.8562622070312
"Raspi_03";"2021-10-01T11:31:24+02:00";553.5594482421875
"Raspi_03";"2021-10-01T11:31:27+02:00";552.5142211914062
"Raspi_03";"2021-10-01T11:31:29+02:00";552.7846069335938
"Raspi_03";"2021-10-01T11:31:31+02:00";553.8228759765625
"Raspi_03";"2021-10-01T11:31:33+02:00";554.7900390625
"Raspi_03";"2021-10-01T11:31:35+02:00";554.1416625976562
"Raspi_03";"2021-10-01T11:31:37+02:00";553.918212890625
"Raspi_03";"2021-10-01T11:31:39+02:00";553.9172973632812
"Raspi_03";"2021-10-01T11:31:41+02:00";555.7274780273438
"Raspi_03";"2021-10-01T11:31:43+02:00";557.1262817382812
"Raspi_03";"2021-10-01T11:31:46+02:00";557.27099609375
"Raspi_03";"2021-10-01T11:31:48+02:00";559.0139770507812
"Raspi_03";"2021-10-01T11:31:50+02:00";557.9121704101562
"Raspi_03";"2021-10-01T11:31:52+02:00";557.2158203125
"Raspi_03";"2021-10-01T11:31:54+02:00";556.3513793945312
"Raspi_03";"2021-10-01T11:31:56+02:00";556.9826049804688
"Raspi_03";"2021-10-01T11:31:58+02:00";556.7715454101562
"Raspi_03";"2021-10-01T11:32:00+02:00";557.0613403320312
"Raspi_03";"2021-10-01T11:32:02+02:00";557.3729248046875
"Raspi_03";"2021-10-01T11:32:05+02:00";556.8653564453125
"Raspi_03";"2021-10-01T11:32:07+02:00";556.799560546875
"Raspi_03";"2021-10-01T11:32:09+02:00";557.021240234375
"Raspi_03";"2021-10-01T11:32:11+02:00";556.620361328125
"Raspi_03";"2021-10-01T11:32:13+02:00";556.314453125
"Raspi_03";"2021-10-01T11:32:15+02:00";555.948974609375
"Raspi_03";"2021-10-01T11:32:17+02:00";555.325439453125
"Raspi_03";"2021-10-01T11:32:19+02:00";554.9601440429688
"Raspi_03";"2021-10-01T11:32:21+02:00";554.1543579101562
"Raspi_03";"2021-10-01T11:32:24+02:00";553.919189453125
"Raspi_03";"2021-10-01T11:32:26+02:00";553.810791015625
"Raspi_03";"2021-10-01T11:32:28+02:00";553.94287109375
"Raspi_03";"2021-10-01T11:32:30+02:00";553.6219482421875
"Raspi_03";"2021-10-01T11:32:32+02:00";553.2982177734375
"Raspi_03";"2021-10-01T11:32:34+02:00";553.12255859375
"Raspi_03";"2021-10-01T11:32:36+02:00";553.7825317382812
"Raspi_03";"2021-10-01T11:32:38+02:00";554.2213745117188
"Raspi_03";"2021-10-01T11:32:40+02:00";554.701904296875
"Raspi_03";"2021-10-01T11:32:42+02:00";554.6674194335938
"Raspi_03";"2021-10-01T11:32:45+02:00";555.2404174804688
"Raspi_03";"2021-10-01T11:32:47+02:00";555.2714233398438
"Raspi_03";"2021-10-01T11:32:49+02:00";555.5762939453125
"Raspi_03";"2021-10-01T11:32:51+02:00";555.3887329101562
"Raspi_03";"2021-10-01T11:32:53+02:00";554.9758911132812
"Raspi_03";"2021-10-01T11:32:55+02:00";555.0756225585938
"Raspi_03";"2021-10-01T11:32:57+02:00";555.026611328125
"Raspi_03";"2021-10-01T11:32:59+02:00";554.7041625976562
"Raspi_03";"2021-10-01T11:33:01+02:00";554.2922973632812
"Raspi_03";"2021-10-01T11:33:04+02:00";553.5469360351562
"Raspi_03";"2021-10-01T11:33:06+02:00";553.5374755859375
"Raspi_03";"2021-10-01T11:33:08+02:00";552.99951171875
"Raspi_03";"2021-10-01T11:33:10+02:00";552.8758544921875
"Raspi_03";"2021-10-01T11:33:12+02:00";552.3322143554688
"Raspi_03";"2021-10-01T11:33:14+02:00";551.6729125976562
"Raspi_03";"2021-10-01T11:33:16+02:00";550.3899536132812
"Raspi_03";"2021-10-01T11:33:18+02:00";549.3468627929688
"Raspi_03";"2021-10-01T11:33:20+02:00";549.4812622070312
"Raspi_03";"2021-10-01T11:33:23+02:00";548.93798828125
"Raspi_03";"2021-10-01T11:33:25+02:00";548.7030639648438
"Raspi_03";"2021-10-01T11:33:27+02:00";548.6627197265625
"Raspi_03";"2021-10-01T11:33:29+02:00";548.7276611328125
"Raspi_03";"2021-10-01T11:33:31+02:00";549.1527709960938
"Raspi_03";"2021-10-01T11:33:33+02:00";550.3422241210938
"Raspi_03";"2021-10-01T11:33:35+02:00";551.0090942382812
"Raspi_03";"2021-10-01T11:33:37+02:00";550.6727905273438
"Raspi_03";"2021-10-01T11:33:39+02:00";549.6396484375
"Raspi_03";"2021-10-01T11:33:42+02:00";549.7646484375
"Raspi_03";"2021-10-01T11:33:44+02:00";548.8939208984375
"Raspi_03";"2021-10-01T11:33:46+02:00";547.7886962890625
"Raspi_03";"2021-10-01T11:33:48+02:00";547.75537109375
"Raspi_03";"2021-10-01T11:33:50+02:00";547.61669921875
"Raspi_03";"2021-10-01T11:33:52+02:00";548.3947143554688
"Raspi_03";"2021-10-01T11:33:54+02:00";546.4142456054688
"Raspi_03";"2021-10-01T11:33:56+02:00";545.742919921875
"Raspi_03";"2021-10-01T11:33:58+02:00";545.4982299804688
"Raspi_03";"2021-10-01T11:34:01+02:00";545.9568481445312
"Raspi_03";"2021-10-01T11:34:03+02:00";545.9098510742188
"Raspi_03";"2021-10-01T11:34:05+02:00";544.335693359375
"Raspi_03";"2021-10-01T11:34:07+02:00";543.8623657226562
"Raspi_03";"2021-10-01T11:34:09+02:00";543.659423828125
"Raspi_03";"2021-10-01T11:34:11+02:00";543.2991333007812
"Raspi_03";"2021-10-01T11:34:13+02:00";542.5220947265625
"Raspi_03";"2021-10-01T11:34:15+02:00";541.32568359375
"Raspi_03";"2021-10-01T11:34:17+02:00";540.6182250976562
"Raspi_03";"2021-10-01T11:34:19+02:00";540.074462890625
"Raspi_03";"2021-10-01T11:34:22+02:00";538.9263916015625
"Raspi_03";"2021-10-01T11:34:24+02:00";537.9879760742188
"Raspi_03";"2021-10-01T11:34:26+02:00";536.3781127929688
"Raspi_03";"2021-10-01T11:34:28+02:00";535.6089477539062
